                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1192,                 4.3276,                 1.8776,                0.00458,                   0.24,                0.01068,                0.00486,                 2.0511,                 4.4014,                 1.6918,                 0.0928,                 0.0008,                 0.0008
                      1,                 2.0298,                 4.3645,                 1.8573,                0.00163,                  0.275,                0.07142,                0.03124,                 1.8087,                  4.233,                 1.5779,               0.084697,              0.0016966,              0.0016966
                      2,                 1.8827,                  4.132,                 1.7353,                0.00256,                 0.3275,                0.11228,                0.06651,                 1.4879,                  4.107,                 1.4075,                0.07659,              0.0025897,              0.0025897
                      3,                 1.7544,                 4.0177,                 1.6557,                0.00225,                 0.3275,                0.10322,                0.06427,                 1.6004,                 4.1209,                 1.4917,               0.068479,              0.0034792,              0.0034792
                      4,                 1.6414,                 3.8022,                  1.563,                0.00307,                0.32611,                0.11224,                0.06988,                 1.5656,                 4.0203,                 1.5183,               0.060365,              0.0043652,              0.0043652
                      5,                 1.6869,                 3.5523,                 1.5623,                0.96811,                0.06628,                0.12189,                0.08269,                 1.5186,                 3.8299,                  1.522,               0.052248,              0.0052475,              0.0052475
                      6,                 1.6838,                 3.4116,                 1.6073,                0.97174,                    0.1,                0.12127,                0.07344,                 1.6565,                 3.4762,                 1.5554,               0.044126,              0.0061263,              0.0061263
                      7,                 1.7134,                 3.0015,                 1.5278,                 0.9626,                    0.1,                0.17669,                0.09693,                 1.7293,                 3.2757,                  1.598,               0.036002,              0.0070016,              0.0070016
                      8,                 1.7196,                 2.8665,                 1.4974,                0.92661,                  0.125,                0.20276,                0.09894,                 1.7635,                 3.2019,                 1.5314,               0.027873,              0.0078733,              0.0078733
                      9,                 1.6854,                 2.7777,                  1.544,                0.99222,                    0.1,                0.19536,                 0.0918,                 1.7523,                 3.0225,                 1.5323,               0.019741,              0.0087414,              0.0087414
                     10,                 1.7478,                 2.8245,                 1.5656,                0.53845,                0.21806,                0.19347,                0.08417,                  1.908,                 2.9152,                  1.719,               0.011606,               0.009606,               0.009606
                     11,                 1.7647,                  2.854,                 1.6355,                0.61774,                0.31528,                0.23141,                 0.1145,                 1.8099,                 2.8805,                 1.7224,              0.0097822,              0.0097822,              0.0097822
                     12,                 1.7509,                 2.6444,                 1.5376,                0.66777,                0.24444,                0.26238,                0.10584,                 1.9085,                 2.7613,                  1.753,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6547,                 2.4626,                 1.5141,                0.81673,                0.19714,                0.31235,                0.16831,                 1.8453,                 2.8254,                 1.6672,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.5939,                 2.4994,                  1.463,                0.56364,                0.15833,                0.21917,                0.07893,                 1.8671,                 2.9211,                 1.6114,              0.0097426,              0.0097426,              0.0097426
                     15,                   1.62,                 2.5249,                 1.4791,                0.69275,                0.26806,                0.36121,                0.20403,                   1.83,                 2.6635,                  1.691,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6691,                 2.5513,                 1.5301,                0.44482,                0.24278,                0.33199,                0.15683,                 1.8785,                  2.774,                 1.6946,               0.009703,               0.009703,               0.009703
                     17,                 1.7359,                 2.5364,                 1.5846,                0.80666,                0.21919,                0.36801,                0.15965,                 1.8272,                 2.5901,                 1.6752,              0.0096832,              0.0096832,              0.0096832
                     18,                  1.623,                 2.5063,                  1.501,                0.21508,                 0.4575,                0.29518,                0.13637,                 1.8126,                  2.549,                 1.6802,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.5766,                 2.5511,                 1.4581,                0.36063,                0.31091,                0.31005,                0.15687,                 1.8878,                 2.7171,                 1.7389,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.6407,                 2.4005,                 1.5147,                0.24405,                0.34417,                0.29436,                0.13555,                 2.1576,                 2.8923,                 1.7878,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6276,                 2.4225,                  1.498,                 0.5088,                0.24852,                0.33545,                0.18697,                 1.7794,                 2.5287,                 1.5623,               0.009604,               0.009604,               0.009604
                     22,                 1.6307,                 2.2878,                 1.4982,                0.88186,                0.23905,                0.32591,                0.18504,                 1.8777,                 2.5838,                 1.6261,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.5434,                 2.3918,                 1.4848,                0.89966,                0.22705,                0.33993,                0.19092,                 1.9566,                 2.8907,                 1.6627,              0.0095644,              0.0095644,              0.0095644
