                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8295,                 5.1957,                 4.2942,                0.00011,                   0.04,                  7e-05,                  1e-05,                 4.3571,                 5.4373,                 4.1571,                0.09901,                  1e-05,                  1e-05
                      1,                 3.8462,                 5.1943,                 4.3472,                0.00011,                   0.04,                  7e-05,                  1e-05,                  4.357,                 5.4197,                 4.1548,                0.09703,             2.9901e-05,             2.9901e-05
                      2,                 3.8089,                 4.9839,                 4.3487,                0.00011,                   0.04,                  8e-05,                  1e-05,                 4.3597,                  5.396,                 4.1522,                0.09505,              4.967e-05,              4.967e-05
                      3,                 3.6047,                 5.2252,                 4.2889,                0.00011,                   0.04,                  8e-05,                  1e-05,                 4.3602,                 5.3715,                 4.1493,               0.093069,             6.9307e-05,             6.9307e-05
                      4,                 3.9011,                 5.3538,                  4.452,                0.00011,                   0.04,                  8e-05,                  1e-05,                 4.3617,                 5.3487,                 4.1465,               0.091089,             8.8812e-05,             8.8812e-05
                      5,                 4.3375,                 5.4824,                 4.3452,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3637,                 5.3242,                 4.1435,               0.089108,             0.00010818,             0.00010818
                      6,                 4.0911,                 5.1999,                 4.3378,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3665,                 5.2972,                 4.1401,               0.087127,             0.00012743,             0.00012743
                      7,                 3.9456,                 5.0996,                 4.3106,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3714,                 5.2673,                  4.136,               0.085147,             0.00014653,             0.00014653
                      8,                 4.0153,                   5.33,                 4.3448,                0.00011,                   0.04,                  7e-05,                  1e-05,                 4.3782,                 5.2333,                 4.1304,               0.083166,             0.00016551,             0.00016551
                      9,                 3.6528,                 5.2326,                  4.297,                 0.0001,                   0.04,                  7e-05,                  1e-05,                 4.3828,                 5.2155,                 4.1258,               0.081184,             0.00018436,             0.00018436
                     10,                 4.0885,                 5.0599,                 4.3465,                 0.0001,                   0.04,                  8e-05,                  1e-05,                 4.3821,                 5.1959,                 4.1222,               0.079203,             0.00020307,             0.00020307
                     11,                 3.8618,                 5.1594,                  4.238,                0.00011,                   0.04,                  8e-05,                  1e-05,                 4.3817,                 5.1761,                 4.1184,               0.077222,             0.00022165,             0.00022165
                     12,                 4.1055,                 5.0253,                 4.3573,                 0.0001,                   0.04,                  7e-05,                  1e-05,                  4.381,                 5.1575,                 4.1146,                0.07524,              0.0002401,              0.0002401
                     13,                 3.9039,                 5.0302,                 4.2546,                0.00011,                   0.04,                  7e-05,                  1e-05,                 4.3796,                 5.1386,                 4.1105,               0.073258,             0.00025842,             0.00025842
