                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2149,                 5.0069,                 4.3759,                      0,                      0,                      0,                      0,                 4.2804,                 5.1185,                 4.1533,                 0.0964,                 0.0004,                 0.0004
                      1,                 4.2142,                 4.9798,                 4.3555,                      0,                      0,                      0,                      0,                  4.285,                 5.0967,                 4.1441,               0.091896,             0.00089644,             0.00089644
                      2,                  4.053,                 4.9306,                 4.2713,                      0,                      0,                      0,                      0,                 4.2889,                 5.0681,                 4.1324,               0.087389,              0.0013889,              0.0013889
                      3,                 4.1066,                 4.9856,                 4.2694,                      0,                      0,                      0,                      0,                 4.2877,                 5.0532,                 4.1264,               0.082877,              0.0018774,              0.0018774
                      4,                 4.0343,                  4.933,                 4.2237,                      0,                      0,                      0,                      0,                 4.2877,                 5.0335,                 4.1185,               0.078362,               0.002362,               0.002362
                      5,                 4.2401,                 4.8479,                  4.206,                      0,                      0,                      0,                      0,                 4.2872,                 5.0206,                 4.1126,               0.073843,              0.0028426,              0.0028426
                      6,                 4.2928,                 4.8468,                 4.1588,                      0,                      0,                      0,                      0,                 4.2871,                 4.9977,                 4.1028,               0.069319,              0.0033192,              0.0033192
                      7,                 4.1507,                 4.7546,                 4.1594,                      0,                      0,                      0,                      0,                 4.2868,                 4.9819,                 4.0957,               0.064792,              0.0037919,              0.0037919
                      8,                 4.1726,                 4.8603,                 4.1284,                      0,                      0,                      0,                      0,                 4.2835,                 4.9618,                 4.0851,               0.060261,              0.0042606,              0.0042606
                      9,                 4.0022,                 4.7536,                 4.1554,                      0,                      0,                      0,                      0,                 4.2817,                 4.9508,                 4.0786,               0.055725,              0.0047254,              0.0047254
                     10,                 4.3375,                 4.6657,                 4.1593,                      0,                      0,                      0,                      0,                 4.2802,                  4.941,                 4.0729,               0.051186,              0.0051862,              0.0051862
                     11,                 4.1291,                 4.6744,                 4.1201,                      0,                      0,                      0,                      0,                 4.2782,                 4.9309,                 4.0676,               0.046643,               0.005643,               0.005643
                     12,                  4.221,                 4.5961,                 4.1338,                      0,                      0,                      0,                      0,                  4.277,                  4.926,                 4.0649,               0.042096,              0.0060959,              0.0060959
                     13,                 4.1679,                 4.6155,                 4.1044,                      0,                      0,                      0,                      0,                 4.2757,                 4.9137,                 4.0595,               0.037545,              0.0065448,              0.0065448
                     14,                 4.1378,                 4.5105,                 4.0829,                      0,                      0,                      0,                      0,                 4.2746,                 4.8977,                 4.0521,                0.03299,              0.0069897,              0.0069897
