                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1287,                 5.1158,                 4.3979,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1593,                    0.1,                      0,                      0
                      1,                 4.2302,                 5.1155,                 4.4236,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1593,                 0.0991,             9.9901e-05,             9.9901e-05
                      2,                 4.0261,                 4.9582,                  4.384,                      0,                      0,                      0,                      0,                 4.4221,                 5.3772,                 4.1592,                 0.0982,              0.0001996,              0.0001996
                      3,                 4.1453,                 5.1139,                 4.3043,                      0,                      0,                      0,                      0,                  4.422,                 5.3774,                 4.1594,               0.097299,             0.00029911,             0.00029911
                      4,                 4.1008,                 5.0809,                  4.363,                      0,                      0,                      0,                      0,                 4.4222,                 5.3773,                 4.1597,               0.096398,             0.00039842,             0.00039842
                      5,                 4.3136,                 5.2264,                 4.3581,                      0,                      0,                      0,                      0,                 4.4216,                  5.377,                 4.1597,               0.095498,             0.00049752,             0.00049752
                      6,                 4.1104,                 5.0621,                 4.4084,                      0,                      0,                      0,                      0,                 4.4216,                 5.3771,                 4.1599,               0.094596,             0.00059644,             0.00059644
                      7,                 4.0175,                 4.9376,                 4.3598,                      0,                      0,                      0,                      0,                 4.4199,                 5.3743,                 4.1586,               0.093695,             0.00069515,             0.00069515
                      8,                 4.3047,                 5.2455,                 4.3341,                      0,                      0,                      0,                      0,                 4.4185,                 5.3653,                 4.1568,               0.092794,             0.00079366,             0.00079366
                      9,                 4.1081,                  5.141,                 4.3542,                      0,                      0,                      0,                      0,                 4.4171,                 5.3643,                 4.1548,               0.091892,             0.00089198,             0.00089198
                     10,                 4.1269,                 5.0942,                 4.2806,                      0,                      0,                      0,                      0,                 4.4123,                 5.3578,                 4.1518,                0.09099,              0.0009901,              0.0009901
                     11,                  4.029,                 5.0917,                 4.3344,                      0,                      0,                      0,                      0,                 4.4109,                 5.3517,                 4.1488,               0.090088,               0.001088,               0.001088
                     12,                 4.2292,                 5.0658,                 4.2493,                      0,                      0,                      0,                      0,                 4.4061,                 5.0674,                 4.1453,               0.089186,              0.0011857,              0.0011857
                     13,                 4.1449,                 5.0669,                 4.2796,                      0,                      0,                      0,                      0,                 4.4024,                 4.9368,                 4.1416,               0.088283,              0.0012833,              0.0012833
                     14,                 4.2407,                 5.1262,                 4.2718,                      0,                      0,                      0,                      0,                 4.3968,                  4.928,                 4.1378,               0.087381,              0.0013806,              0.0013806
                     15,                 4.0857,                 4.9432,                 4.2355,                      0,                      0,                      0,                      0,                 4.3945,                 4.7916,                 4.1327,               0.086478,              0.0014777,              0.0014777
                     16,                  4.101,                 5.0786,                 4.2168,                      0,                      0,                      0,                      0,                 4.3908,                 4.7795,                 4.1279,               0.085575,              0.0015747,              0.0015747
                     17,                 4.1262,                 4.8767,                 4.2234,                      0,                      0,                      0,                      0,                 4.3885,                 4.7689,                 4.1229,               0.084671,              0.0016714,              0.0016714
                     18,                 4.2144,                 4.9748,                 4.2083,                      0,                      0,                      0,                      0,                 4.3865,                 4.7598,                 4.1175,               0.083768,              0.0017679,              0.0017679
                     19,                  4.202,                 4.8883,                 4.2016,                      0,                      0,                      0,                      0,                 4.3836,                 4.7456,                  4.112,               0.082864,              0.0018643,              0.0018643
                     20,                 4.1824,                  4.894,                 4.1759,                      0,                      0,                      0,                      0,                 4.3799,                  4.731,                 4.1065,                0.08196,              0.0019604,              0.0019604
                     21,                 4.0555,                 4.9413,                 4.1783,                      0,                      0,                      0,                      0,                 4.3739,                 4.7208,                 4.0996,               0.081056,              0.0020563,              0.0020563
