                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8236,                  3.718,                 3.6595,                0.58904,                   0.12,                0.14201,                0.05573,                 3.6629,                 3.8459,                 3.6226,                    0.1,                      0,                      0
                      1,                 3.8306,                 3.7567,                  3.674,                0.78767,                   0.12,                0.14507,                0.05223,                 3.6615,                 3.8327,                  3.623,                0.09901,             9.9802e-06,             9.9802e-06
                      2,                 3.7624,                 3.7777,                 3.6428,                0.79594,                   0.12,                 0.1448,                0.05189,                 3.6667,                 3.8108,                 3.6196,                0.09802,             1.9921e-05,             1.9921e-05
                      3,                 3.7457,                 3.7016,                 3.6255,                    0.8,                0.11565,                0.14717,                0.05719,                 3.6741,                  3.777,                 3.6168,                0.09703,             2.9822e-05,             2.9822e-05
                      4,                 3.7163,                 3.7168,                 3.6108,                 0.7305,                   0.12,                0.13268,                0.05086,                 3.6769,                 3.7357,                 3.6149,                0.09604,             3.9683e-05,             3.9683e-05
                      5,                 3.9051,                 3.8048,                 3.6841,                0.73162,                   0.12,                0.13445,                 0.0528,                 3.6884,                 3.7332,                 3.6083,                0.09505,             4.9505e-05,             4.9505e-05
                      6,                 3.8522,                 3.7094,                 3.6413,                0.50933,                   0.12,                0.12752,                0.05016,                 3.6897,                  3.714,                 3.6103,               0.094059,             5.9287e-05,             5.9287e-05
                      7,                 3.7584,                  3.629,                 3.6578,                0.51828,                   0.12,                0.12461,                0.04919,                 3.6925,                 3.7022,                 3.6164,               0.093069,              6.903e-05,              6.903e-05
                      8,                 3.7506,                 3.6785,                 3.5739,                0.50805,                   0.12,                0.12962,                0.05138,                 3.6666,                  3.692,                 3.6288,               0.092079,             7.8733e-05,             7.8733e-05
                      9,                 3.6604,                 3.7403,                 3.6213,                 0.5077,                   0.12,                0.12518,                0.04682,                  3.656,                 3.6983,                 3.6258,               0.091088,             8.8396e-05,             8.8396e-05
                     10,                 3.8872,                 3.7379,                 3.6447,                0.69768,                   0.12,                0.10949,                0.04172,                 3.6439,                 3.7077,                 3.6302,               0.090098,              9.802e-05,              9.802e-05
                     11,                 3.8615,                 3.7376,                  3.685,                 0.7139,                   0.12,                0.11705,                0.04212,                 3.6535,                 3.6858,                 3.6252,               0.089108,              0.0001076,              0.0001076
                     12,                 3.7853,                 3.7166,                 3.6731,                0.73935,                   0.12,                0.12595,                0.04847,                 3.6627,                 3.7138,                 3.6138,               0.088117,             0.00011715,             0.00011715
                     13,                 3.8712,                 3.6591,                 3.6285,                0.79828,                   0.12,                0.13752,                0.04898,                 3.6518,                 3.7161,                  3.608,               0.087127,             0.00012665,             0.00012665
                     14,                 3.7628,                 3.6632,                 3.6183,                    0.6,                0.11033,                 0.1414,                0.05103,                  3.648,                  3.703,                 3.6064,               0.086136,             0.00013612,             0.00013612
                     15,                 3.8761,                 3.7618,                 3.6442,                0.53579,                   0.12,                0.13151,                0.04646,                 3.6448,                 3.6658,                 3.6073,               0.085146,             0.00014554,             0.00014554
                     16,                 3.8271,                 3.6798,                 3.6469,                    0.8,                0.07812,                0.12755,                 0.0485,                  3.639,                 3.6456,                 3.6077,               0.084155,             0.00015493,             0.00015493
                     17,                 3.8688,                 3.7614,                 3.6129,                0.52065,                 0.1643,                0.13238,                0.04643,                 3.6423,                 3.6085,                  3.596,               0.083164,             0.00016428,             0.00016428
                     18,                 3.7063,                 3.6688,                 3.5954,                0.51361,                0.16407,                0.13337,                0.04788,                 3.6527,                 3.6057,                 3.5952,               0.082174,             0.00017358,             0.00017358
                     19,                 3.7596,                 3.6887,                 3.6099,                0.73712,                0.08909,                0.14425,                0.05729,                 3.6482,                 3.6046,                 3.5971,               0.081183,             0.00018285,             0.00018285
                     20,                 3.7393,                 3.7478,                 3.6604,                0.68513,                   0.12,                0.11421,                0.04859,                 3.6292,                 3.5666,                 3.6008,               0.080192,             0.00019208,             0.00019208
                     21,                 3.5621,                 3.6661,                  3.578,                0.48827,                0.17706,                0.10008,                0.04059,                   3.62,                 3.5911,                  3.599,               0.079201,             0.00020127,             0.00020127
